crossed_rownames,name_1,syct_1,mmin_1,mmax_1,cach_1,chmin_1,chmax_1,perf_1,estperf_1,name_2,syct_2,mmin_2,mmax_2,cach_2,chmin_2,chmax_2,perf_2,estperf_2
8_150,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NAS AS/7000 N,72,2000,8000,16,6,8,105,48
8_151,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NAS AS/8040,40,8000,16000,32,8,16,214,126
8_152,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NAS AS/8050,40,8000,32000,64,8,24,277,266
8_153,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NAS AS/8060,35,8000,32000,64,8,24,370,270
8_154,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NAS AS/9000 DPC,38,16000,32000,128,16,32,510,426
8_155,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NAS AS/9000 N,48,4000,24000,32,8,24,214,151
8_156,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NAS AS/9040,38,8000,32000,64,8,24,326,267
8_157,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NAS AS/9060,30,16000,32000,256,16,24,510,603
8_158,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8535 II,112,1000,1000,0,1,4,8,19
8_159,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8545 II,84,1000,2000,0,1,6,12,21
8_160,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8555 II,56,1000,4000,0,1,6,17,26
8_161,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8565 II,56,2000,6000,0,1,8,21,35
8_162,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8565 II E,56,2000,8000,0,1,8,24,41
8_163,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8575 II,56,4000,8000,0,1,8,34,47
8_164,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8585 II,56,4000,12000,0,1,8,42,62
8_165,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8595 II,56,4000,16000,0,1,8,46,78
8_166,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8635 ,38,4000,8000,32,16,32,51,80
8_167,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8650,38,4000,8000,32,16,32,116,80
8_168,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8635,38,8000,16000,64,4,8,100,142
8_169,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8665,38,8000,24000,160,4,8,140,281
8_170,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NCR V8670,38,4000,16000,128,16,32,212,190
8_171,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NIXDORF 8890/30,200,1000,2000,0,1,2,25,21
8_172,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NIXDORF 8890/50,200,1000,4000,0,1,4,30,25
8_173,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,NIXDORF 8890/70,200,2000,8000,64,1,5,41,67
8_174,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,PERKIN-ELMER 3205,250,512,4000,0,1,7,25,24
8_175,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,PERKIN-ELMER 3210,250,512,4000,0,4,7,50,24
8_176,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,PERKIN-ELMER 3230,250,1000,16000,1,1,8,50,64
8_177,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,PRIME 50-2250,160,512,4000,2,1,5,30,25
8_178,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,PRIME 50-250 II,160,512,2000,2,3,8,32,20
8_179,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,PRIME 50-550 II,160,1000,4000,8,1,14,38,29
8_180,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,PRIME 50-750 II,160,1000,8000,16,1,14,60,43
8_181,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,PRIME 50-850 II,160,2000,8000,32,1,13,109,53
8_182,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.521,240,512,1000,8,1,3,6,19
8_183,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.531,240,512,2000,8,1,5,11,22
8_184,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.536,105,2000,4000,8,3,8,22,31
8_185,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.541,105,2000,6000,16,6,16,33,41
8_186,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.551,105,2000,8000,16,4,14,58,47
8_187,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.561,52,4000,16000,32,4,12,130,99
8_188,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.865-2,70,4000,12000,8,6,8,75,67
8_189,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.870-2,59,4000,12000,32,6,12,113,81
8_190,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.872-2,59,8000,16000,64,12,24,188,149
8_191,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.875-2,26,8000,24000,32,8,16,173,183
8_192,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.880-2,26,8000,32000,64,12,16,248,275
8_193,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SIEMENS 7.881-2,26,8000,32000,128,24,32,405,382
8_194,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 1100/61 H1,116,2000,8000,32,5,28,70,56
8_195,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 1100/81,50,2000,32000,24,6,26,114,182
8_196,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 1100/82,50,2000,32000,48,26,52,208,227
8_197,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 1100/83,50,2000,32000,112,52,104,307,341
8_198,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 1100/84,50,4000,32000,112,52,104,397,360
8_199,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 1100/93,30,8000,64000,96,12,176,915,919
8_200,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 1100/94,30,8000,64000,128,12,176,1150,978
8_201,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 80/3,180,262,4000,0,1,3,12,24
8_202,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 80/4,180,512,4000,0,1,3,14,24
8_203,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 80/5,180,262,4000,0,1,3,18,24
8_204,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 80/6,180,512,4000,0,1,3,21,24
8_205,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 80/8,124,1000,8000,0,1,8,42,37
8_206,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,SPERRY 90/80 MODEL 3,98,1000,8000,32,2,8,46,50
8_207,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,STRATUS 32,125,2000,8000,0,2,14,52,41
8_208,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,WANG VS10,480,512,8000,32,0,0,67,47
8_209,AMDAHL 580-5850,23,16000,32000,64,16,32,489,381,WANG VS 90,480,1000,4000,0,0,0,45,25
9_10,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,AMDAHL 580 5880,23,32000,64000,128,32,64,1144,1238
9_11,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,APOLLO DN320,400,1000,3000,0,1,2,38,23
9_12,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,APOLLO DN420,400,512,3500,4,1,6,40,24
9_13,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BASF 7/65,60,2000,8000,65,1,8,92,70
9_14,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BASF 7/68,50,4000,16000,65,1,8,138,117
9_15,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BTI 5000,350,64,64,0,1,4,10,15
9_16,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BTI 8000,200,512,16000,0,4,32,35,64
9_17,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BURROUGHS B1955,167,524,2000,8,4,15,19,23
9_18,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BURROUGHS B2900,143,512,5000,0,7,32,28,29
9_19,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BURROUGHS B2925,143,1000,2000,0,5,16,31,22
9_20,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BURROUGHS B4955,110,5000,5000,142,8,64,120,124
9_21,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BURROUGHS B5900,143,1500,6300,0,5,32,30,35
9_22,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BURROUGHS B5920,143,3100,6200,0,5,20,33,39
9_23,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BURROUGHS B6900,143,2300,6200,0,6,64,61,40
9_24,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,BURROUGHS B6925,110,3100,6200,0,6,64,76,45
9_25,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,C.R.D. 68/10-80,320,128,6000,0,1,12,23,28
9_26,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,C.R.D. UNIVERSE 2203T,320,512,2000,4,1,3,69,21
9_27,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,C.R.D. UNIVERSE 68,320,256,6000,0,1,6,33,28
9_28,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,C.R.D. UNIVERSE 68/05,320,256,3000,4,1,3,27,22
9_29,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,C.R.D. UNIVERSE 68/137,320,512,5000,4,1,5,77,28
9_30,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,C.R.D. UNIVERSE 68/37,320,256,5000,4,1,6,27,27
9_31,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CDC CYBER 170/750,25,1310,2620,131,12,24,274,102
9_32,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CDC CYBER 170/760,25,1310,2620,131,12,24,368,102
9_33,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CDC CYBER 170/815,50,2620,10480,30,12,24,32,74
9_34,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CDC CYBER 170/825,50,2620,10480,30,12,24,63,74
9_35,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CDC CYBER 170/835,56,5240,20970,30,12,24,106,138
9_36,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CDC CYBER 170/845,64,5240,20970,30,12,24,208,136
9_37,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CDC OMEGA 480-I,50,500,2000,8,1,4,20,23
9_38,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CDC OMEGA 480-II,50,1000,4000,8,1,5,29,29
9_39,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CDC OMEGA 480-III,50,2000,8000,8,1,5,71,44
9_40,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CAMBEX 1636-1,50,1000,4000,8,3,5,26,30
9_41,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CAMBEX 1636-10,50,1000,8000,8,3,5,36,41
9_42,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CAMBEX 1641-1,50,2000,16000,8,3,5,40,74
9_43,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CAMBEX 1641-11,50,2000,16000,8,3,6,52,74
9_44,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,CAMBEX 1651-1,50,2000,16000,8,3,6,60,74
9_45,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DEC DECSYS 10 1091,133,1000,12000,9,3,12,72,54
9_46,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DEC DECSYS 20 2060,133,1000,8000,9,3,12,72,41
9_47,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DEC MICROVAX-1,810,512,512,8,1,1,18,18
9_48,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DEC VAX 11/730,810,1000,5000,0,1,1,20,28
9_49,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DEC VAX 11/750,320,512,8000,4,1,5,40,36
9_50,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DEC VAX 11/780,200,512,8000,8,1,8,62,38
9_51,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DG ECLIPSE C/350,700,384,8000,0,1,1,24,34
9_52,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DG ECLIPSE M/600,700,256,2000,0,1,1,24,19
9_53,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DG ECLIPSE MV/1000,140,1000,16000,16,1,3,138,72
9_54,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DG ECLIPSE MV/4000,200,1000,8000,0,1,2,36,36
9_55,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DG ECLIPSE MV/6000,110,1000,4000,16,1,2,26,30
9_56,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DG ECLIPSE MV/8000,110,1000,12000,16,1,2,60,56
9_57,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,DG ECLIPSE MV/8000 II,220,1000,8000,16,1,2,71,42
9_58,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,FORMATION F4000/100,800,256,8000,0,1,4,12,34
9_59,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,FORMATION F4000/200,800,256,8000,0,1,4,14,34
9_60,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,FORMATION F4000/200AP,800,256,8000,0,1,4,20,34
9_61,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,FORMATION F4000/300,800,256,8000,0,1,4,16,34
9_62,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,FORMATION F4000/300AP,800,256,8000,0,1,4,22,34
9_63,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,FOUR PHASE 2000/260,125,512,1000,0,8,20,36,19
9_64,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,GOULD CONCEPT 32/8705,75,2000,8000,64,1,38,144,75
9_65,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,GOULD CONCEPT 32/8750,75,2000,16000,64,1,38,144,113
9_66,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,GOULD CONCEPT 32/8780,75,2000,16000,128,1,38,259,157
9_67,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HP 3000/30,90,256,1000,0,3,10,17,18
9_68,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HP 3000/40,105,256,2000,0,3,10,26,20
9_69,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HP 3000/44,105,1000,4000,0,3,24,32,28
9_70,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HP 3000/48,105,2000,4000,8,3,19,32,33
9_71,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HP 3000/64,75,2000,8000,8,3,24,62,47
9_72,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HP 3000/88,75,3000,8000,8,3,48,64,54
9_73,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HP 3000/III,175,256,2000,0,3,24,22,20
9_74,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HARRIS 100,300,768,3000,0,6,24,36,23
9_75,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HARRIS 300,300,768,3000,6,6,24,44,25
9_76,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HARRIS 500,300,768,12000,6,6,24,50,52
9_77,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HARRIS 600,300,768,4500,0,1,24,45,27
9_78,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HARRIS 700,300,384,12000,6,1,24,53,50
9_79,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HARRIS 80,300,192,768,6,6,24,36,18
9_80,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HARRIS 800,180,768,12000,6,1,31,84,53
9_81,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 6/35,330,1000,3000,0,2,4,16,23
9_82,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 6/92,300,1000,4000,8,3,64,38,30
9_83,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 6/96,300,1000,16000,8,2,112,38,73
9_84,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 7/35,330,1000,2000,0,1,2,16,20
9_85,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 7/45,330,1000,4000,0,3,6,22,25
9_86,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 7/55,140,2000,4000,0,3,6,29,28
9_87,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 7/65,140,2000,4000,0,4,8,40,29
9_88,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 8/44,140,2000,4000,8,1,20,35,32
9_89,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 8/49,140,2000,32000,32,1,20,134,175
9_90,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 8/50,140,2000,8000,32,1,54,66,57
9_91,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 8/52,140,2000,32000,32,1,54,141,181
9_92,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 8/62,140,2000,32000,32,1,54,189,181
9_93,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,HONEYWELL DPS 8/20,140,2000,4000,8,1,20,22,32
9_94,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 3033 S,57,4000,16000,1,6,12,132,82
9_95,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 3033 U,57,4000,24000,64,12,16,237,171
9_96,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 3081,26,16000,32000,64,16,24,465,361
9_97,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 3081 D,26,16000,32000,64,8,24,465,350
9_98,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 3083 B,26,8000,32000,0,8,24,277,220
9_99,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 3083 E,26,8000,16000,0,8,16,185,113
9_100,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 370/125-2,480,96,512,0,1,1,6,15
9_101,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 370/148,203,1000,2000,0,1,5,24,21
9_102,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 370/158-3,115,512,6000,16,1,6,45,35
9_103,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 38/3,1100,512,1500,0,1,1,7,18
9_104,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 38/4,1100,768,2000,0,1,1,13,20
9_105,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 38/5,600,768,2000,0,1,1,16,20
9_106,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 38/7,400,2000,4000,0,1,1,32,28
9_107,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 38/8,400,4000,8000,0,1,1,32,45
9_108,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4321,900,1000,1000,0,1,2,11,18
9_109,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4331-1,900,512,1000,0,1,2,11,17
9_110,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4331-11,900,1000,4000,4,1,2,18,26
9_111,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4331-2,900,1000,4000,8,1,2,22,28
9_112,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4341,900,2000,4000,0,3,6,37,28
9_113,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4341-1,225,2000,4000,8,3,6,40,31
9_114,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4341-10,225,2000,4000,8,3,6,34,31
9_115,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4341-11,180,2000,8000,8,1,6,50,42
9_116,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4341-12,185,2000,16000,16,1,6,76,76
9_117,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4341-2,180,2000,16000,16,1,6,66,76
9_118,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4341-9,225,1000,4000,2,3,6,24,26
9_119,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4361-4,25,2000,12000,8,1,4,49,59
9_120,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4361-5,25,2000,12000,16,3,5,66,65
9_121,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4381-1,17,4000,16000,8,6,12,100,101
9_122,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 4381-2,17,4000,16000,32,6,12,133,116
9_123,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 8130 A,1500,768,1000,0,0,0,12,18
9_124,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 8130 B,1500,768,2000,0,0,0,18,20
9_125,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IBM 8140,800,768,2000,0,0,0,20,20
9_126,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IPL 4436,50,2000,4000,0,3,6,27,30
9_127,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IPL 4443,50,2000,8000,8,3,6,45,44
9_128,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IPL 4445,50,2000,8000,8,1,6,56,44
9_129,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IPL 4446,50,2000,16000,24,1,6,70,82
9_130,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IPL 4460,50,2000,16000,24,1,6,80,82
9_131,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,IPL 4480,50,8000,16000,48,1,10,136,128
9_132,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,MAGNUSON M80/30,100,1000,8000,0,2,6,16,37
9_133,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,MAGNUSON M80/31,100,1000,8000,24,2,6,26,46
9_134,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,MAGNUSON M80/32,100,1000,8000,24,3,6,32,46
9_135,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,MAGNUSON M80/42,50,2000,16000,12,3,16,45,80
9_136,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,MAGNUSON M80/43,50,2000,16000,24,6,16,54,88
9_137,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,MAGNUSON M80/44,50,2000,16000,24,6,16,65,88
9_138,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,MICRODATA SEQ.MS/3200,150,512,4000,0,8,128,30,33
9_139,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/3000,115,2000,8000,16,1,3,50,46
9_140,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/3000 N,115,2000,4000,2,1,5,40,29
9_141,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/5000,92,2000,8000,32,1,6,62,53
9_142,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/5000 E,92,2000,8000,32,1,6,60,53
9_143,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/5000 N,92,2000,8000,4,1,6,50,41
9_144,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/6130,75,4000,16000,16,1,6,66,86
9_145,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/6150,60,4000,16000,32,1,6,86,95
9_146,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/6620,60,2000,16000,64,5,8,74,107
9_147,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/6630,60,4000,16000,64,5,8,93,117
9_148,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/6650,50,4000,16000,64,5,10,110,119
9_149,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/7000,72,4000,16000,64,8,16,143,120
9_150,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/7000 N,72,2000,8000,16,6,8,105,48
9_151,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/8040,40,8000,16000,32,8,16,214,126
9_152,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/8050,40,8000,32000,64,8,24,277,266
9_153,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/8060,35,8000,32000,64,8,24,370,270
9_154,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/9000 DPC,38,16000,32000,128,16,32,510,426
9_155,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/9000 N,48,4000,24000,32,8,24,214,151
9_156,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/9040,38,8000,32000,64,8,24,326,267
9_157,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NAS AS/9060,30,16000,32000,256,16,24,510,603
9_158,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8535 II,112,1000,1000,0,1,4,8,19
9_159,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8545 II,84,1000,2000,0,1,6,12,21
9_160,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8555 II,56,1000,4000,0,1,6,17,26
9_161,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8565 II,56,2000,6000,0,1,8,21,35
9_162,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8565 II E,56,2000,8000,0,1,8,24,41
9_163,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8575 II,56,4000,8000,0,1,8,34,47
9_164,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8585 II,56,4000,12000,0,1,8,42,62
9_165,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8595 II,56,4000,16000,0,1,8,46,78
9_166,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8635 ,38,4000,8000,32,16,32,51,80
9_167,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8650,38,4000,8000,32,16,32,116,80
9_168,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8635,38,8000,16000,64,4,8,100,142
9_169,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8665,38,8000,24000,160,4,8,140,281
9_170,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NCR V8670,38,4000,16000,128,16,32,212,190
9_171,AMDAHL 580-5860,23,16000,64000,64,16,32,636,749,NIXDORF 8890/30,200,1000,2000,0,1,2,25,21
